Bang Khonthi,Samut Songkhram,13.487,99.958
Ban Pong,Ratchaburi,13.816,99.873
Phra Pradaeng,Samut Prakarn,13.625,100.549
Mueang Chon Buri,Chon Buri,13.364,100.987
Mueang Nakhon Nayok,Nakhon Nayok,14.204,101.219
Bang Khonthi,Samut Songkhram,13.504,99.923
Ao Luek,Krabi,8.262,98.63
Phasi Charoen,Bangkok,13.738,100.423
Ko Lanta,Krabi,7.224,99.08
Ko Kut,Trat,11.804,102.383
Phak Hai,Phra Nakhon Si Ayutthaya,14.435,100.384
Nuea Khlong,Krabi,7.829,98.988
Kaeng Khoi,Saraburi,14.586,101.002
Chom Thong,Bangkok,13.702,100.476
Ko Samui,Surat Thani,9.393,99.669
Bang Khonthi,Samut Songkhram,13.459,99.931
Nakhon Chai Si,Nakhon Pathom,13.787,100.192
Bang Kruai,Nonthaburi,13.811,100.453
Mueang Chumphon,Chumphon,10.498,99.179
Phra Pradaeng,Samut Prakarn,13.693,100.577
Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,14.331,100.554
Phra Pradaeng,Samut Prakarn,13.666,100.566
Mueang Pattani,Pattani,6.876,101.251
Mueang Chiang Mai,Chiang Mai,18.796,98.985
Bang Phlat,Bangkok,13.774,100.492
Bangkok Noi,Bangkok,13.772,100.477
Amphawa,Samut Songkhram,13.427,99.954
Mueang Ranong,Ranong,9.905,98.479
Phanat Nikhom,Chon Buri,13.45,101.18
Tha Maka,Kanchanaburi,13.954,99.752
Sa Thon,Bangkok,13.718,100.541
Phra Pradaeng,Samut Prakarn,13.671,100.52
Mueang Pathum Thani,Pathum Thani,14.031,100.552
Phasi Charoen,Bangkok,13.736,100.445
Phra Pradaeng,Samut Prakarn,13.679,100.558
Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,14.376,100.548
Mueang Pattani,Pattani,6.877,101.305
Bang Phlat,Bangkok,13.802,100.512
Khlung,Chanthaburi,12.452,102.218
Mueang Saraburi,Saraburi,14.529,100.886
Phra Pradaeng,Samut Prakarn,13.659,100.584
Mueang Phitsanulok,Phitsanulok,16.789,100.25
Bang Sai,Phra Nakhon Si Ayutthaya,14.315,100.462
Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,14.356,100.589
Mueang Phetchaburi,Phetchaburi,13.112,99.943
Nakhon Chai Si,Nakhon Pathom,13.793,100.183
Mueang Chachoengsao,Chachoengsao,13.707,101.1
Bang Phlat,Bangkok,13.791,100.487
Amphawa,Samut Songkhram,13.436,99.937
Chaiyo,Ang Thong,14.687,100.494
Bang Khonthi,Samut Songkhram,13.463,99.968
Pathum Wan,Bangkok,13.736,100.546
Phra Pradaeng,Samut Prakarn,13.653,100.564
Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,14.34,100.57
Si Racha,Chon Buri,13.162,100.923
Ko Lanta,Krabi,7.417,99.204
Mueang Chiang Rai,Chiang Rai,19.907,99.832
Phasi Charoen,Bangkok,13.723,100.437
Watthana,Bangkok,13.719,100.596
Photharam,Ratchaburi,13.695,99.853
Phra Pradaeng,Samut Prakarn,13.665,100.545
Bang Kruai,Nonthaburi,13.818,100.479
Krasae Sin,Songkhla,7.561,100.356
Nakhon Chai Si,Nakhon Pathom,13.814,100.175
Mueang Phuket,Phuket,7.936,98.427
Mueang Nakhon Nayok,Nakhon Nayok,14.198,101.233
Bang Sai,Phra Nakhon Si Ayutthaya,14.305,100.472
Phra Pradaeng,Samut Prakarn,13.679,100.578
San Kamphaeng,Chiang Mai,18.735,99.136
Bang Khonthi,Samut Songkhram,13.452,99.955
Mueang Nakhon Si Thammarat,Nakhon Si Thammarat,8.449,99.961
Mueang Phetchaburi,Phetchaburi,13.097,99.949
Sam Khok,Pathum Thani,14.043,100.544
Mueang Samut Prakan,Samut Prakarn,13.623,100.565
Ban Lat,Phetchaburi,13.102,99.895
Mueang Nonthaburi,Nonthaburi,13.823,100.492
Tha Ruea,Phra Nakhon Si Ayutthaya,14.566,100.719
Nong Chik,Pattani,6.858,101.158
Bang Khonthi,Samut Songkhram,13.47,99.931
Khlong Toei,Bangkok,13.707,100.595
Phra Pradaeng,Samut Prakarn,13.697,100.561
Sao Hai,Saraburi,14.565,100.848
Mueang Samut Songkhram,Samut Songkhram,13.399,99.976
Hat Yai,Songkhla,7.045,100.446
Hang Dong,Chiang Mai,18.689,98.98
Mueang Ang Thong,Ang Thong,14.565,100.434
Pa Sang,Lamphun,18.537,98.933
Chaiyo,Ang Thong,14.676,100.498
Tha Mai,Chanthaburi,12.595,102.028
Bangkok Noi,Bangkok,13.76,100.463
Bang Pahan,Phra Nakhon Si Ayutthaya,14.414,100.564
Suk Samran,Ranong,9.495,98.349
Mueang Phang-nga,Phang-nga,8.446,98.524
Mueang Chiang Mai,Chiang Mai,18.841,98.998
Phrao,Chiang Mai,19.359,99.202
Pak Kret,Nonthaburi,13.91,100.472
Mueang Satun,Satun,6.526,99.169
Ban Phraek,Phra Nakhon Si Ayutthaya,14.64,100.585
Pak Kret,Nonthaburi,13.931,100.492
Mueang Nong Khai,Nong Khai,17.89,102.761
Phra Pradaeng,Samut Prakarn,13.641,100.573
Taling Chan,Bangkok,13.751,100.419
Sattahip,Chon Buri,12.577,100.947
Thung Tako,Chumphon,10.112,99.141
Mueang Samut Prakan,Samut Prakarn,13.622,100.581
Ban Phraek,Phra Nakhon Si Ayutthaya,14.638,100.567
Thon Buri,Bangkok,13.707,100.486
Pak Kret,Nonthaburi,13.912,100.506
Phak Hai,Phra Nakhon Si Ayutthaya,14.5,100.388
Ban Lat,Phetchaburi,13.063,99.928
Mueang Nonthaburi,Nonthaburi,13.842,100.494
Mueang Ubon Ratchathani,Ubon Ratchathani,15.244,104.894
Bang Kruai,Nonthaburi,13.809,100.499
Mueang Sukhothai,Sukhothai,17.012,99.822
Bang Kruai,Nonthaburi,13.814,100.402
mueang Nakhon Pathom,Nakhon Pathom,13.819,100.05
Mueang Chiang Mai,Chiang Mai,18.788,99.034
La-ngu,Satun,6.834,99.691
Nakhon Chai Si,Nakhon Pathom,13.827,100.218
Mueang Ranong,Ranong,9.96,98.621
Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,14.39,100.539
Mueang Chon Buri,Chon Buri,13.302,100.928
Mueang Chiang Mai,Chiang Mai,18.774,98.996
Mueang Phayao,Phayao,19.172,99.894
Phak Hai,Phra Nakhon Si Ayutthaya,14.482,100.393
Krathum Baen,Samut Sakhon,13.654,100.25
Mueang Phuket,Phuket,7.788,98.372
Mueang Phetchaburi,Phetchaburi,13.134,99.893
Mueang Chanthaburi,Chanthaburi,12.611,102.105
Bang Kho Laem,Bangkok,13.694,100.516
Sao Hai,Saraburi,14.574,100.885
Doi Saket,Chiang Mai,18.841,99.088
Maha Rat,Phra Nakhon Si Ayutthaya,14.566,100.542
Amphawa,Samut Songkhram,13.437,99.953
Takua Pa,Phang-nga,8.829,98.362
Sam Khok,Pathum Thani,14.042,100.515
Mueang Phuket,Phuket,7.598,98.36
Nakhon Chai Si,Nakhon Pathom,13.807,100.212
Mueang Pattani,Pattani,6.854,101.318
Uthai,Phra Nakhon Si Ayutthaya,14.355,100.622
Ban Phraek,Phra Nakhon Si Ayutthaya,14.655,100.586
Ranot,Songkhla,7.789,100.269
Mueang Lamphun,Lamphun,18.573,99.002
Bang Khonthi,Samut Songkhram,13.46,99.898
Huai Khwang,Bangkok,13.769,100.577
Ko Samui,Surat Thani,9.619,99.679
Nong Khayang,Uthai Thani,15.371,99.9
Bang Lamung,Chon Buri,12.912,100.778
Mueang Surat Thani,Surat Thani,9.137,99.32
Mueang Chiang Mai,Chiang Mai,18.758,99.015
Bang Bua Thong,Nonthaburi,13.878,100.438
Pak Kret,Nonthaburi,13.93,100.479
Mueang Phayao,Phayao,19.142,99.912
Yaring,Pattani,6.787,101.458
Bang Pahan,Phra Nakhon Si Ayutthaya,14.492,100.51
Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,14.312,100.559
Taling Chan,Bangkok,13.752,100.442
Bang Ban,Phra Nakhon Si Ayutthaya,14.41,100.464
Nakhon Chai Si,Nakhon Pathom,13.795,100.123
Mueang Samut Sakhon,Samut Sakhon,13.552,100.28
Pak Kret,Nonthaburi,13.909,100.453
Bang Pa-in,Phra Nakhon Si Ayutthaya,14.295,100.621
Mae Wang,Chiang Mai,18.554,98.849
Bang Khonthi,Samut Songkhram,13.45,99.928
Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,14.391,100.558
Chom Thong,Bangkok,13.693,100.468
Saraphi,Chiang Mai,18.736,99.059
Bang Kruai,Nonthaburi,13.822,100.417
Phanat Nikhom,Chon Buri,13.444,101.144
Phra Pradaeng,Samut Prakarn,13.616,100.536
